"Produkte_App";"Produkte_Zusammenfassung";"Produktgruppe";"Verpackungseinheit";"Lieferant";"Ort";"EntfernungZwischenhaendler";"Herkunftsgenauigkeit";"Lieferantentyp";"EntfernungKK";"Gesamtentfernung";"n";"turnover2015";"turnover2016";"turnover2017";"avg.turnover"
"Muesli";"NI";"NI";"0";"NI";NA;NA;NA;NA;NA;NA;14;NA;NA;1,69085714285714;1,69085714285714
"Nudeln Spaghetti Dinkel";"Spaghetti Dinkel";"Grundnahrungsmittel";"5";"Biohof Lex";NA;0;NA;"Erzeuger";306,955484551127;306,955484551127;2;NA;NA;20;20
"Nudeln Spirelli GEMISCHT";"Nudeln vom Grosshandel";"Grundnahrungsmittel";"5";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;8;1,875;15,438125;10,0325;12,7353125
"Nudeln Spirelli Weizen";"Nudeln vom Grosshandel";"Grundnahrungsmittel";"5";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;8;1,875;15,438125;10,0325;12,7353125
"Nudeln, Dinkel";"Nudeln Dinkel";"Grundnahrungsmittel";"5";"Biohof Lex";NA;0;NA;"Erzeuger";306,955484551127;306,955484551127;6;NA;NA;7,81266666666667;7,81266666666667
"Nudeln, Dinkel Vollkorn";"Nudeln Dinkel";"Grundnahrungsmittel";"5";"Biohof Lex";NA;0;NA;"Erzeuger";306,955484551127;306,955484551127;6;NA;NA;7,81266666666667;7,81266666666667
"Nudeln, Spirelli Dinkel";"Nudeln Dinkel";"Grundnahrungsmittel";"5";"Biohof Lex";NA;0;NA;"Erzeuger";306,955484551127;306,955484551127;6;NA;NA;7,81266666666667;7,81266666666667
"Passata";"Tomatenpassata";"Sonstiges";"12";"OBEG";"Italien";855,694055034801;3;"Zwischenhaendler";212,62569395508;1068,31974898988;6;NA;34;22;28
"Pfeffer";"Pfeffer Schwarz Ganz";"Gewürze";"1";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;6;0,333333333333333;0,333333333333333;0,484;0,408666666666667
"Pfeffer schwarz";"Pfeffer Schwarz Ganz";"Gewürze";"1";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;6;0,333333333333333;0,333333333333333;0,484;0,408666666666667
"Reis Langkorn";"Langkornreis Natur";"Grundnahrungsmittel";"25";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;10;2,5;9,887;9,0202;9,4536
"Reis Rundkorn Vollkorn";"Rundkornreis";"Grundnahrungsmittel";"25";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;6;4,16666666666667;4,6185;13,9746666666667;9,29658333333333
"Schokomus Sambe";"Samba";"Aufstriche";"8";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;6;1,33333333333333;6,5225;2,66666666666667;4,59458333333333
"Sesam ";"Sesam";"Ölsaaten und Nüsse";"25";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;6;4,21666666666667;4,3985;9,16666666666667;6,78258333333333
"Sesam ungeschält";"Sesam";"Ölsaaten und Nüsse";"25";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;6;4,21666666666667;4,3985;9,16666666666667;6,78258333333333
"Sesammus";"Sesammus";"Aufstriche";"8";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;2;NA;NA;5;5
"Sonnenblumenöl -HO";"Sonnenblumenöl hocherhitzbar";"Öl und Essig";"10";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;8;2,5;NA;9,106;9,106
"Sonnenblumenöl Heiss";"Sonnenblumenöl hocherhitzbar";"Öl und Essig";"10";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;8;2,5;NA;9,106;9,106
"Sonnenblumenöl Hocherhitzbar";"Sonnenblumenöl hocherhitzbar";"Öl und Essig";"10";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;8;2,5;NA;9,106;9,106
"Sultaninen";"Sultaninen";"Trockenfrüchte";"12.5";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;6;2,143;6,25;12,5585;9,40425
"Tomatenmark EDEN";"Tomatenmark";"Sonstiges";"12";"OBEG";"Italien";855,694055034801;3;"Zwischenhaendler";212,62569395508;1068,31974898988;8;NA;17,625;16,5;17,0625
"Tomatenmark NATURATA";"Tomatenmark";"Sonstiges";"12";"OBEG";"Italien";855,694055034801;3;"Zwischenhaendler";212,62569395508;1068,31974898988;8;NA;17,625;16,5;17,0625
"Zuckerrübensirup";"Zuckerrübensirup";"Sonstiges";"5";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;2;NA;NA;6,088;6,088
"Sonnenblumenöl, EU ";"Sonnenblumenöl hocherhitzbar";"Öl und Essig";"10";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;8;2,5;NA;9,106;9,106
"Senfsaat Gelb";"Senfkörner";"Gewürze";"1";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;8;NA;0,251625;0,267;0,2593125
"Waldhonig";"Honig";"Sonstiges";"10";"Erik";NA;0;NA;"Erzeuger";3,56355402577734;3,56355402577734;9;3,11111111111111;1,55555555555556;2,76133333333333;2,15844444444444
